country,adolescent_population_thousands,adolescent_proportion_of_total_population,thinness_2022,overweight_2022,intimate_partner_violence_percent_2015_2022,bullying_percent_2011_2019_male,bullying_percent_2011_2019_female,math_proficiency_male,math_proficiency_female,reading_proficiency_male,reading_proficiency_female,neet_male,neet_female,unemployment_male,unemployment_female,household_chores_male,household_chores_female
Sao Tome and Principe,53,24,5,14,28,-,-,-,-,-,-,-,-,9,9,4,11
Saudi Arabia,4651,15,8,46,-,-,-,12,11,34,62,-,-,27,44,-,-
Senegal,4034,23,18,8,3,-,-,8,7,8,9,21,37,2,4,6,23
Serbia,681,10,2,29,-,18,19,60,61,55,70,8,7,34,30,1,2
Seychelles,15,13,6,34,-,45,50,-,-,-,-,31,23,16,-,-,-
Sierra Leone,1879,23,4,11,43,60,57,-,-,-,-,24,28,-,-,12,20
Singapore,608,11,3,35,-,-,-,92,95,86,92,5,3,-,13,-,-
Slovakia,550,10,4,24,-,20,19,75,75,62,75,7,5,52,67,-,-
Slovenia,207,10,2,28,-,26,23,83,84,75,89,7,6,16,15,-,-
Solomon Islands,167,22,2,28,-,64,68,-,-,-,-,5,6,-,-,6,9
Somalia,4048,23,8,10,-,-,-,-,-,-,-,34,40,40,37,-,-
South Africa,10406,17,4,22,12,-,-,-,-,-,-,13,15,71,78,1,2
South Sudan,2880,27,8,12,-,-,-,-,-,-,-,-,-,-,-,-,-
Spain,4950,10,2,28,-,10,9,75,75,80,87,-,-,43,43,-,-
Sri Lanka,3586,16,18,17,-,50,29,-,-,-,-,11,12,26,27,0,0
State of Palestine,1136,22,4,33,-,-,-,-,-,-,-,18,14,34,33,1,2
Sudan,11179,23,17,13,-,-,-,-,-,-,-,17,33,11,-,4,8
Suriname,110,18,5,35,-,25,25,-,-,-,-,11,11,23,62,1,2
Sweden,1208,12,2,25,-,18,19,81,82,77,86,-,-,39,33,-,-
Switzerland,854,10,2,24,-,14,18,84,83,72,82,10,10,8,9,-,-
Syrian Arab Republic,5478,25,5,36,-,-,-,-,-,-,-,-,-,19,27,-,-
Tajikistan,1907,19,9,10,6,7,7,-,-,-,-,-,-,12,7,-,-
Thailand,8683,12,8,25,-,38,28,43,51,31,49,7,8,4,7,-,-
Timor-Leste,313,23,18,4,38,39,25,-,-,-,-,17,16,2,3,4,6
Togo,2002,23,6,11,13,-,-,-,-,-,-,5,12,-,-,19,31
Tokelau,0,20,1,61,-,39,39,-,-,-,-,-,-,-,-,-,-
Tonga,24,23,0,62,-,46,31,-,-,-,-,17,14,-,-,3,0
Trinidad and Tobago,188,13,9,39,-,13,18,43,52,48,67,11,12,-,-,0,0
Tunisia,1777,15,5,29,-,37,24,27,24,23,33,20,15,43,34,-,-
Türkiye,12892,15,2,33,18,39,33,41,43,68,79,12,22,13,19,-,-
Turkmenistan,1120,16,6,16,-,-,-,-,-,-,-,-,-,-,-,0,0
Turks and Caicos Islands,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2
Tuvalu,2,18,1,57,-,40,15,-,-,-,-,74,72,31,34,0,0
Uganda,11576,25,7,10,31,50,41,49,34,50,49,8,13,3,4,7,18
Ukraine,4519,10,6,13,2,40,41,-,-,68,81,-,-,29,27,2,2
United Arab Emirates,972,10,4,46,-,33,22,45,48,46,68,4,5,14,37,-,-
United Kingdom,7932,12,2,30,-,38,37,82,80,79,86,-,-,20,15,-,-
United Republic of Tanzania,14713,23,9,8,-,25,28,-,-,-,-,8,14,2,3,4,7
United States,44302,13,1,43,-,26,25,74,72,77,85,8,7,12,10,-,-
Uruguay,472,14,2,37,-,18,20,51,48,53,63,11,9,39,53,1,2
Uzbekistan,5511,16,4,18,-,-,-,-,-,-,-,-,-,22,21,5,9
Vanuatu,63,21,2,34,-,60,46,-,-,-,-,42,43,10,11,-,-
Venezuela (Bolivarian Republic of),5400,19,3,36,-,-,-,-,-,-,-,16,25,21,24,-,-
Viet Nam,14414,15,11,14,16,26,26,79,83,81,91,8,9,7,6,3,4
Yemen,8261,22,15,18,-,47,33,-,-,-,-,18,58,25,29,9,28
Zambia,4717,24,5,12,27,-,-,2,3,4,6,17,22,7,7,8,9
Zimbabwe,3853,24,6,10,31,-,-,-,-,-,-,19,26,12,14,4,10
